courseCode,sectionId,sectionNumber,semesterId,sessionId,beginDate,endDate,creditHours,capacity,currentEnrollment,status,permCount,meetingDays,meetingDaysRaw,startTime,endTime,room,instructors
"AMST180  PZ","AMST180  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","10","5","Open","2","Wed;Fri","---W-F-","11:00","12:15","PZ AV 224","Anthes, Bill"
"AMST191  SC","AMST191  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","99","1","Open","1","","-------","00:00","00:00","SC ARR ","Staff, Scripps"
"ANTH002  PO","ANTH002  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","15","Closed","3","Mon;Wed","-M-W---","11:00","12:15","PO HN 216","Traore, Cecile"
"ANTH002  PO","ANTH002  PO-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","14","Closed","11","Tue;Thu","--T-R--","13:15","14:30","PO HN 107","Lippman, Alexandra Sharp"
"ANTH002  PO","ANTH002  PO-03 SP2026","03","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","18","Closed","15","Tue;Thu","--T-R--","11:00","12:15","PO HN 214","Lippman, Alexandra Sharp"
"ANTH002  PZ","ANTH002  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","21","Closed","28","Mon;Wed","-M-W---","14:45","16:00","PZ BE 105","Matteson, Emily"
"ANTH002  PZ","ANTH002  PZ-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","20","Closed","8","Mon;Wed","-M-W---","16:15","17:30","PZ BE 105","Matteson, Emily"
"ANTH002  SC","ANTH002  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","16","R","22","Tue;Thu","--T-R--","13:15","14:30","SC HM 121","Deeb, Lara"
"ANTH015  PO","ANTH015  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","19","Closed","10","Wed","---W---","13:15","16:00","PO HN 101","Lippman, Alexandra Sharp"
"ANTH022  SC","ANTH022  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","15","R","11","Tue;Thu","--T-R--","14:45","16:00","SC HM 103","Park, SeoYoung"
"ANTH053  PO","ANTH053  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","15","Closed","0","Tue","--T----","13:15","16:00","PO HN 214","Traore, Cecile"
"ANTH075  PZ","ANTH075  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","17","19","Closed","14","Mon;Wed","-M-W---","13:15","14:30","PZ BE 105","Matteson, Emily"
"ANTH077  PO","ANTH077  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","15","Closed","16","Thu","----R--","13:15","16:00","PO HN 214","Shah, Omer"
"ANTH088  PZ","ANTH088  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","17","10","R","0","Mon","-M-----","14:45","17:30","PZ BD 208","Chao, Emily"
"ANTH090  PZ","ANTH090  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","18","Closed","16","Mon;Wed","-M-W---","11:00","12:15","PZ BE 111","Strauss, Claudia"
"ANTH105  PO","ANTH105  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","16","Closed","24","Wed","---W---","13:15","16:00","PO HN 107","Shah, Omer"
"ANTH107  PZ","ANTH107  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","23","Closed","29","Mon","-M-----","14:45","17:30","PZ AV 201","Hartshorn, Timothy"
"ANTH114  PZ","ANTH114  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","21","Closed","11","Tue;Thu","--T-R--","13:15","14:30","PZ FL 106","Fanthome, Eduard"
"ANTH114  SC","ANTH114  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","17","Closed","16","Wed","---W---","14:45","17:30","SC HM 105","Morales, Gabriela"
"ANTH118  PZ","ANTH118  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","20","Closed","16","Wed","---W---","14:45","17:30","PZ BH 214","Hartshorn, Timothy"
"ANTH120  PZ","ANTH120  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","12","R","3","Tue;Thu","--T-R--","13:15","14:30","PZ BE 103","Chao, Emily"
"ANTH185  SC","ANTH185  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","30","28","R","44","Tue","--T----","14:45","17:30","SC HM 201","Deeb, Lara"
"ANTH189S PO","ANTH189S PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","16","Closed","22","Thu","----R--","12:30","15:30","PO MA 4","Divita, David S."
"ANTH191  PO","ANTH191  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","4","Open","4","","-------","00:00","00:00","PO ARR ARR","Shah, Omer"
"ANTH191  SC","ANTH191  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","99","0","Open","0","","-------","00:00","00:00","SC ARR ","Staff, Scripps"
"ANTH199  SC","ANTH199  SC-03 SP2026","03","SP2026","SP2026","2026-01-20","2026-05-15","1.0","1","1","Closed","0","","-------","00:00","00:00","SC ARR ","Deeb, Lara"
"ARBC002  CM","ARBC002  CM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","12","Open","0","Wed","---W---","19:00","21:00","CM KRV LC62","Frangieh, Bassam"
"ARBC002  CM","ARBC002  CM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","12","Open","0","Wed","---W---","19:00","21:00","CM KRV LC62","Frangieh, Bassam"
"ARBC002  CM","ARBC002  CM-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","11","Open","0","Wed","---W---","19:00","21:00","CM KRV LC63","Frangieh, Bassam"
"ARBC002  CM","ARBC002  CM-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","11","Open","0","Wed","---W---","19:00","21:00","CM KRV LC63","Frangieh, Bassam"
"ARBC044  CM","ARBC044  CM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","17","10","Open","0","Mon;Tue;Wed;Thu","-MTWR--","10:00","10:50","CM KRV 167","Azzouzi, Najah"
"ARBC148  CM","ARBC148  CM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","24","Closed","40","Mon","-M-----","18:00","21:00","CM KRV LC62","Frangieh, Bassam"
"ARCN110  SC","ARCN110  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","16","Closed","27","Mon","-M-----","19:00","21:45","SC HM 101","Doehne, Eric"
"ARCT179B HM","ARCT179B HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","18","12","Open","41","Thu","----R--","14:45","17:30","HM PA 1279","Gu, Jia Yi"
"ARCT179D HM","ARCT179D HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","18","19","Closed","29","Tue","--T----","14:45","17:30","HM PA 1279","Gu, Jia Yi"
"ARHI130  PO","ARHI130  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","16","Closed","4","Tue;Thu","--T-R--","14:45","16:00","PO LE 110","Romero, Rosalia"
"ARHI131  PO","ARHI131  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","10","Closed","32","Wed","---W---","13:15","16:00","PO LE 217","Romero, Rosalia"
"ARHI151  SC","ARHI151  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","18","R","4","Mon;Wed","-M-W---","11:00","12:15","SC ST 101","Yu, Patricia J."
"ARHI174  PO","ARHI174  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","16","Closed","9","Mon;Wed","-M-W---","13:15","14:30","PO LE 110","Oing, Michelle Katherine"
"ARHI186A PZ","ARHI186A PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","15","Closed","13","Wed","---W---","14:45","17:30","PZ BE 101","Anthes, Bill"
"ARHI186C SC","ARHI186C SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","14","R","11","Tue","--T----","14:45","17:30","SC BX 108","Yu, Patricia J."
"ARHI186I PZ","ARHI186I PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","8","10","Closed","20","Thu","----R--","13:15","16:00","PZ BH 204","Butts, Emily"
"ARHI186M SC","ARHI186M SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","10","14","Closed","1","Thu","----R--","14:45","17:30","SC BX 108","Valyi-Nagy, Zsofi"
"ARHI186P PO","ARHI186P PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","9","Closed","6","Mon;Wed","-M-W---","11:00","12:15","PO LE 217","Oing, Michelle Katherine"
"ARHI189  SC","ARHI189  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","22","Closed","2","Tue;Thu","--T-R--","09:35","10:50","SC ST 101","Valyi-Nagy, Zsofi"
"ARHI191  PO","ARHI191  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","6","Open","6","","-------","00:00","00:00","PO LE 217","Oing, Michelle Katherine"
"ARHI191  SC","ARHI191  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","99","0","Open","0","","-------","00:00","00:00","SC ARR ","Staff, Scripps"
"ARHI191  SC","ARHI191  SC-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","1","0","R","0","","-------","00:00","00:00","SC ARR ARR","Lum, Julia"
"ARHI191  SC","ARHI191  SC-03 SP2026","03","SP2026","SP2026","2026-01-20","2026-05-15","1.0","1","1","Closed","0","","-------","00:00","00:00","SC ARR ARR","Lum, Julia"
"ARHI191  SC","ARHI191  SC-04 SP2026","04","SP2026","SP2026","2026-01-20","2026-05-15","1.0","1","1","Closed","0","","-------","00:00","00:00","SC ARR ARR","Lum, Julia"
"ARHI191  SC","ARHI191  SC-05 SP2026","05","SP2026","SP2026","2026-01-20","2026-05-15","1.0","1","1","Closed","0","","-------","00:00","00:00","SC ARR ARR","Valyi-Nagy, Zsofi"
"ARHI191  SC","ARHI191  SC-06 SP2026","06","SP2026","SP2026","2026-01-20","2026-05-15","1.0","1","1","Closed","0","","-------","00:00","00:00","SC ARR ARR","Rudova, Larissa V."
"ARHI199  SC","ARHI199  SC-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","0.5","6","7","Closed","0","","-------","00:00","00:00","SC ARR ","Lum, Julia"
"ART 005  PO","ART 005  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","15","Closed","94","Tue;Thu","--T-R--","09:35","12:05","PO STAR 216","Mole, Olivia"
"ART 016  PZ","ART 016  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","12","Open","105","Tue;Thu","--T-R--","13:15","15:45","PZ MC WART","Myers, Rebekah F"
"ART 020  PO","ART 020  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","12","Closed","64","Tue;Thu","--T-R--","09:35","12:05","PO STAR 214","Auerbach, Lisa Anne"
"ART 022  PO","ART 022  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","10","8","Closed","26","Tue;Thu","--T-R--","13:15","15:45","PO STAR 216","Mole, Olivia"
"ART 027  PO","ART 027  PO-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","12","Closed","38","Mon;Wed","-M-W---","09:35","12:05","PO STAR 106","O'Malley, Michael"
"ART 030  PZ","ART 030  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","13","R","31","Tue;Thu","--T-R--","13:15","15:45","PZ MC EART","Gilbert, Sarah"
"ART 075  PZ","ART 075  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","18","Closed","54","Tue;Thu","--T-R--","10:00","12:30","PZ RRC 112","McCoy, Jessica"
"ART 082  PO","ART 082  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","11","Closed","9","Tue;Thu","--T-R--","13:15","15:45","PO STAR 214","Auerbach, Lisa Anne"
"ART 105  SC","ART 105  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","16","Closed","74","Mon;Wed","-M-W---","10:00","12:30","SC LA 203","Heilbron, Alex"
"ART 105B PO","ART 105B PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","8","Open","6","Tue;Thu","--T-R--","13:15","15:45","PO STAR 216","Chow, Pui_Shuen_(Tiffany)"
"ART 106  SC","ART 106  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","13","R","29","Mon;Wed","-M-W---","13:15","15:45","SC LA 203","Heilbron, Alex"
"ART 110  PO","ART 110  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","15","Closed","18","Tue;Thu","--T-R--","09:35","12:05","PO STAR 201","Chow, Pui_Shuen_(Tiffany)"
"ART 113  PZ","ART 113  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","12","R","2","Tue;Thu","--T-R--","13:15","15:45","PZ RRC 112","McCoy, Jessica"
"ART 117  PO","ART 117  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","16","Closed","27","Mon;Wed","-M-W---","10:00","12:30","PO STAR 215","Allen, Mark"
"ART 120  PZ","ART 120  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","8","9","Closed","55","Fri","-----F-","13:30","17:30","PZ SC B12","Cedre, Tamara"
"ART 120  SC","ART 120  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","15","Closed","95","Tue;Thu","--T-R--","13:15","15:45","SC LCAB 100","Davis, Adam"
"ART 121  SC","ART 121  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","14","R","58","Mon;Wed","-M-W---","10:00","12:30","SC LCAB 100","Cooper, Brandi"
"ART 123  PZ","ART 123  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","12","Closed","56","Wed","---W---","13:30","17:30","PZ MC FNRM","Cedre, Tamara"
"ART 126D PO","ART 126D PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","8","6","Open","11","Mon;Wed","-M-W---","13:15","15:45","PO STAR 106","O'Malley, Michael"
"ART 132  SC","ART 132  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","11","R","57","Tue;Thu","--T-R--","16:00","18:00","SC LA 214","Tran, Kim-Trang T."
"ART 135  SC","ART 135  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","12","Closed","46","Mon;Wed","-M-W---","13:00","15:00","SC LA 100","Blassingame, Tia"
"ART 141  SC","ART 141  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","18","Closed","52","Tue;Thu","--T-R--","10:00","12:00","SC ST 5","Macko, Nancy"
"ART 144  SC","ART 144  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","9","Open","19","Tue;Thu","--T-R--","13:15","15:45","SC LA 116","Godinez-Davila, Jonathan"
"ART 144  SC","ART 144  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","9","Open","19","Tue;Thu","--T-R--","13:15","15:45","SC LA 116","Godinez-Davila, Jonathan"
"ART 145  SC","ART 145  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","12","R","65","Mon;Wed","-M-W---","13:15","15:15","SC LA 119","Iniguez, Erick"
"ART 146  SC","ART 146  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","11","R","5","Mon;Wed","-M-W---","10:00","12:00","SC LA 119","Iniguez, Erick"
"ART 149  SC","ART 149  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","12","Closed","19","Tue;Thu","--T-R--","13:15","15:15","SC LA 214","Tran, Kim-Trang T."
"ART 150  SC","ART 150  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","15","Closed","5","Tue;Thu","--T-R--","10:00","12:30","SC LA 116","Ogasian, Alyson"
"ART 150  SC","ART 150  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","15","Closed","5","Tue;Thu","--T-R--","10:00","12:30","SC LA 116","Ogasian, Alyson"
"ART 151  JT","ART 151  JT-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","14","Open","16","Tue;Thu","--T-R--","10:00","12:30","PZ MC WART","Berg, Tim"
"ART 151C SC","ART 151C SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","16","Closed","5","Mon;Wed","-M-W---","13:15","15:45","SC LCAB 100","Cooper, Brandi"
"ART 179S HM","ART 179S HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","16","14","R","35","Tue;Thu","--T-R--","13:15","15:45","HM PA 1283","Fandell, Kenneth Emil"
"ART 179Y HM","ART 179Y HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","18","16","R","1","Mon;Wed","-M-W---","13:15","15:45","HM SHAN 3465","Beavers, Isabel"
"ART 181  SC","ART 181  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","6","Open","13","Wed","---W---","14:45","17:30","SC LA 221","Lin, Jessica"
"ART 181M SC","ART 181M SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","15","R","3","Tue;Thu","--T-R--","14:45","16:00","SC LA 221","Macko, Nancy"
"ART 192  PO","ART 192  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","14","10","Open","10","Tue;Thu","--T-R--","09:35","12:05","PO STAR 215","Allen, Mark"
"ART 193  SC","ART 193  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","8","Open","8","Tue;Thu","--T-R--","13:15","15:45","SC LA 200","Ogasian, Alyson"
"ART 193  SC","ART 193  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","16","8","Open","8","Tue;Thu","--T-R--","13:15","15:45","SC LA 200","Ogasian, Alyson"
"ART 199  PZ","ART 199  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","10","11","Closed","1","Wed","---W---","13:15","17:15","PZ ATN A105","Berg, Tim"
"ASAM055  PZ","ASAM055  PZ-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","5","Open","0","Tue","--T----","14:45","17:30","PZ SKD P105","Shahbazian, Niko"
"ASAM086  HM","ASAM086  HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","15","15","Closed","1","Thu","----R--","13:15","16:00","HM SHAN B454","Mony Park, Joanne"
"ASAM090  AA","ASAM090  AA-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","15","16","Closed","17","Tue","--T----","19:00","21:45","HM SHAN 2421","Chan, Scott"
"ASAM105B PZ","ASAM105B PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","15","Closed","35","Wed","---W---","19:00","21:50","PZ BE 101","Honma, Todd"
"ASAM123  HM","ASAM123  HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","22","16","R","7","Tue;Thu","--T-R--","09:35","10:50","HM SHAN B442","Flores, Alfred"
"ASAM125  CM","ASAM125  CM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","8","8","Closed","0","Mon;Wed","-M-W---","09:35","10:50","CM RS 103","Itagaki, Lynn Mie"
"ASAM130  PZ","ASAM130  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","12","11","R","38","Wed","---W---","14:45","17:30","PO LINC 1121","Honma, Todd"
"ASAM157  PZ","ASAM157  PZ-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","15","13","R","7","Tue;Thu","--T-R--","11:00","12:15","PZ BE 101","Shahbazian, Niko"
"ASAM160  AA","ASAM160  AA-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","14","R","9","Mon","-M-----","14:45","17:30","SC HM 105","Manalo-Pedro, Erin"
"ASAM179B AA","ASAM179B AA-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","11","R","0","Thu","----R--","19:00","21:45","SC HM 105","Ma, Eileen"
"ASAM179R HM","ASAM179R HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","16","12","R","1","Tue;Thu","--T-R--","13:15","14:30","PO LINC 1121","Flores, Alfred"
"ASAM191  PO","ASAM191  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","0","Open","0","","-------","00:00","00:00","PO ARR ARR","Goto, Sharon G."
"ASAM191  PO","ASAM191  PO-02 SP2026","02","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","0","Open","0","","-------","00:00","00:00","PO ARR ARR","Thai, Hung Cam"
"ASAM191  PO","ASAM191  PO-03 SP2026","03","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","1","Open","0","","-------","00:00","00:00","PO ARR ARR","Shahbazian, Niko"
"ASAM191  PO","ASAM191  PO-04 SP2026","04","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","3","Open","1","","-------","00:00","00:00","PO ARR ARR","Honma, Todd"
"ASAM191  PO","ASAM191  PO-05 SP2026","05","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","0","Open","0","","-------","00:00","00:00","PO ARR ARR","Staff"
"ASAM191  PO","ASAM191  PO-06 SP2026","06","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","0","Open","0","","-------","00:00","00:00","PO ARR ARR","Staff"
"ASAM191  PO","ASAM191  PO-07 SP2026","07","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","0","Open","0","","-------","00:00","00:00","PO ARR ARR","Staff"
"ASAM191  PO","ASAM191  PO-08 SP2026","08","SP2026","SP2026","2026-01-20","2026-05-15","1.0","5","0","Open","0","","-------","00:00","00:00","PO ARR ARR","Lu, Joyce J."
"ASAM191  SC","ASAM191  SC-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","99","0","Open","0","","-------","00:00","00:00","SC ARR ","Staff, Scripps"
"ASIA086  PO","ASIA086  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","20","8","Open","0","Tue;Thu","--T-R--","13:15","14:30","PO PR 203","Stromberg, Kirie"
"ASIA191  PO","ASIA191  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","4","2","Open","0","Wed;Fri","---W-F-","11:00","12:15","PO HN 214","Le, Tom"
"ASIA192  PO","ASIA192  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","6","1","Open","0","Wed;Fri","---W-F-","11:00","12:15","PO HN 214","Le, Tom"
"ASTR003  PO","ASTR003  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","36","35","Closed","25","Mon;Wed","-M-W---","11:00","12:15","PO ESTE 1051","Tyler, Dakotah"
"ASTR051  PO","ASTR051  PO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","18","14","Closed","11","Mon;Wed","-M-W---","13:15","14:30","PO ESTE 1181","Choi, Philip I."
"ASTR051 LPO","ASTR051 LPO-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","0.0","18","12","Closed","9","Mon","-M-----","19:00","21:50","PO AN 1213","Choi, Philip I."
"ASTR062  HM","ASTR062  HM-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","3.0","35","14","Open","0","Mon;Wed;Fri","-M-W-F-","09:00","09:50","HM SHAN 2450","Tamayo, Daniel"
"ASTR066L KS","ASTR066L KS-01 SP2026","01","SP2026","SP2026","2026-01-20","2026-05-15","1.0","40","38","R","50","Tue;Thu","--T-R--","11:00","12:15","CU NS E007","Buchholz, James R."
